total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
285696,279,7,118.41111518558367,128.0,-0.004687092243693769,5.683870667219162,-0.7456574767827988,0.00512365649919957,0.04638671875,0.7084510087966919,30.257621693611146,0.4912484884262085,5.158297538757324,0.10835162550210953,0.272485613822937,0.0,0.1515609323978424,0.16804809868335724,0.1849215179681778,-1.6991779804229736,-1.667101502418518,-1.6343157291412354,0.0,1.0
286720,280,10,119.13872535853814,118.2,-0.005562769941752777,1.9256146103143692,-0.7445680215954781,0.003544435978983529,0.05419921875,0.758417297899723,19.414784967899323,0.5227841138839722,3.5164127349853516,0.10079535096883774,0.27260321378707886,0.0,0.15111209452152252,0.1680482029914856,0.18355315923690796,-1.7000553607940674,-1.6670966148376465,-1.6369616985321045,0.0,1.0
287744,281,9,117.29624372887527,121.44444444444444,-0.0047055514878593385,6.973264366388321,-0.7439385682344437,0.003521857511077542,0.04453125,0.6641294248402119,38.063335108757016,-0.909091591835022,5.828113079071045,0.10827380418777466,0.27821803092956543,0.0,0.15140695869922638,0.1682029515504837,0.18287332355976105,-1.6994789838790894,-1.6668013334274292,-1.6382766962051392,0.0,1.0
288768,282,8,129.77396753277046,125.875,-0.0058630168670788406,7.171133604645729,-0.7455912142992019,0.004848143746494315,0.07001953125,0.7965722419321537,31.7425128698349,0.7942368984222412,5.657822132110596,0.09874234348535538,0.27602773904800415,0.0,0.14932575821876526,0.16735857725143433,0.18442347645759583,-1.7035486698150635,-1.668439269065857,-1.6352787017822266,0.0,1.0
289792,283,8,113.75360173556888,123.5,-0.004023718077223748,5.550959533452987,-0.7518086105585098,0.0020556390882120468,0.0326171875,0.7848899185657501,29.912387561798095,-0.5461894273757935,4.648063659667969,0.10309503227472305,0.2758168876171112,0.0,0.14784690737724304,0.16590125858783722,0.18283602595329285,-1.7064419984817505,-1.6712665557861328,-1.6383488178253174,0.0,1.0
290816,284,7,127.09740643007616,120.0,-0.0034244568494614215,3.7173274129629137,-0.759724560379982,0.003405829324037768,0.025439453125,0.7905904851853848,38.11591740846634,2.1994848251342773,4.439342498779297,0.09988325834274292,0.26882997155189514,0.0,0.14657916128635406,0.16508758068084717,0.18241015076637268,-1.70892333984375,-1.672852873802185,-1.6391727924346924,0.0,1.0
291840,285,9,132.13599542514174,130.88888888888889,-0.003744602209189907,6.004322436451912,-0.7698610037565231,0.0030658093412057495,0.036962890625,0.7611772678792477,55.43678689002991,1.7978832721710205,5.9050164222717285,0.11592472344636917,0.29097890853881836,0.0,0.14249852299690247,0.16170264780521393,0.18042774498462677,-1.7169164419174194,-1.6794549226760864,-1.643009901046753,0.0,1.0
292864,286,9,111.2566890077034,121.77777777777777,-0.005156330321915448,5.9524222820997235,-0.7854429945349694,0.0053645120147848505,0.0531982421875,0.8409421451389789,47.2399719953537,-1.0813210010528564,5.654057502746582,0.11156207323074341,0.28885576128959656,0.0,0.14231225848197937,0.16092869639396667,0.18025445938110352,-1.7172815799713135,-1.6809757947921753,-1.6433454751968384,0.0,1.0
293888,287,8,96.20349586907635,111.875,-0.0048451660433784126,4.2223787128925325,-0.7869398832321167,0.004084463772596791,0.052978515625,0.7391912482678891,33.074462592601776,-1.045048713684082,4.532166481018066,0.09687025099992752,0.28217265009880066,0.0,0.1412486732006073,0.16036181151866913,0.17737901210784912,-1.7193665504455566,-1.6820564270019531,-1.6489163637161255,0.0,1.0
294912,288,7,148.0060648614294,127.57142857142857,-0.003055978519842029,7.623186622560024,-0.7929560571908951,0.003274874616181478,0.0345458984375,0.8058363497257233,61.02777590751648,3.117985963821411,6.50468111038208,0.0979570522904396,0.2737322151660919,0.0,0.13987192511558533,0.1590195596218109,0.1773192435503006,-1.7220662832260132,-1.6846734285354614,-1.6490322351455688,0.0,1.0
295936,289,10,121.19628214967861,121.1,-0.004488733143080026,4.515409211814403,-0.7987423494458199,0.0044270435493672265,0.04267578125,0.6983518056571484,43.843887174129485,0.9668008089065552,5.389181137084961,0.10501953959465027,0.27647748589515686,0.0,0.13991180062294006,0.15861019492149353,0.17639094591140747,-1.7219880819320679,-1.6854771375656128,-1.650831937789917,0.0,1.0
296960,290,8,125.00530656617451,124.25,-0.006272083253134042,4.9711873680353165,-0.801607295870781,0.0029439428151817994,0.0643798828125,0.8272828251123429,27.618964505195617,0.9928683042526245,4.763262748718262,0.10985281318426132,0.2830726206302643,0.0,0.14060062170028687,0.1577468067407608,0.17437753081321716,-1.7206372022628784,-1.6871670484542847,-1.6547373533248901,0.0,1.0
297984,291,8,114.99916426593083,118.25,-0.006999958073720336,2.5156148090958594,-0.8093815207481384,0.0034195522748632357,0.0534423828125,0.7901444017887116,22.33613829612732,-0.3855208456516266,3.7586052417755127,0.11421466618776321,0.27858638763427734,0.0,0.13940215110778809,0.15577192604541779,0.17313651740550995,-1.7229877710342407,-1.6909993886947632,-1.6571459770202637,0.0,1.0
299008,292,9,103.20848454174731,120.22222222222223,-0.005771034664940089,5.351719823479653,-0.8198953941464424,0.0035764532047323884,0.0524169921875,0.8422901317477226,39.257648396492,-1.926189661026001,5.076529502868652,0.09909612685441971,0.28948232531547546,0.0,0.13788838684558868,0.15463285148143768,0.17294515669345856,-1.7259578704833984,-1.6932244300842285,-1.657517433166504,0.0,1.0
300032,293,7,118.9013560892374,120.14285714285714,-0.005822534050093964,3.190662406384945,-0.8240920886397362,0.00825843215570785,0.068359375,0.8126290909945965,25.289637327194214,0.5501222610473633,4.299533843994141,0.10881539434194565,0.2678409814834595,0.0,0.13791754841804504,0.15432661771774292,0.17245614528656006,-1.725900650024414,-1.6938508749008179,-1.6584668159484863,0.0,1.0
301056,294,9,113.44329670785848,126.33333333333333,-0.0046119745471514765,2.8465644285082816,-0.8267813473939896,0.00509262540290365,0.055126953125,0.7705949522554875,22.33417582511902,0.4222221374511719,3.9256460666656494,0.09783017635345459,0.2678859531879425,0.0,0.13800814747810364,0.15341053903102875,0.170810267329216,-1.7257227897644043,-1.6956084966659546,-1.66166353225708,0.0,1.0
302080,295,8,124.13176725265217,128.625,-0.0047195390739943836,3.6327241770923138,-0.8309160247445107,0.0027430798683781175,0.0414306640625,0.8055600009858608,21.191922664642334,0.22749462723731995,4.33040714263916,0.10648494958877563,0.2729841470718384,0.0,0.13743259012699127,0.15310800075531006,0.17135128378868103,-1.7268524169921875,-1.6962223052978516,-1.6606125831604004,0.0,1.0
303104,296,10,111.35018544159769,128.9,-0.005086721014231443,3.8973794728517532,-0.8326832056045532,0.0012527378275990486,0.0338134765625,0.8073096759617329,33.17940487861633,1.5928326845169067,4.276241779327393,0.07224263995885849,0.30361297726631165,0.0,0.1368832290172577,0.15262804925441742,0.17274151742458344,-1.7279306650161743,-1.697164535522461,-1.6579127311706543,0.0,1.0
304128,297,7,111.83531387693732,119.85714285714286,-0.0051003887318074705,6.127513986825943,-0.8346612066030502,0.002949587776674889,0.0447265625,0.8090881675481796,49.35955989360809,0.8916970491409302,5.699282169342041,0.09562718868255615,0.2969411611557007,0.0,0.13660335540771484,0.15263135731220245,0.17227232456207275,-1.7284801006317139,-1.6971373558044434,-1.658823847770691,0.0,1.0
305152,298,8,140.7623443232909,121.25,-0.005594795639626682,2.6235168397426607,-0.8320252522826195,0.004492684177239426,0.0552001953125,0.7868011511862278,21.744833064079284,0.39560529589653015,3.7494988441467285,0.09872176498174667,0.26955366134643555,0.0,0.13851721584796906,0.15360583364963531,0.1736956536769867,-1.7247239351272583,-1.6952399015426636,-1.6560606956481934,0.0,1.0
306176,299,8,116.85329979410547,123.125,-0.004476634343154729,5.965434367954731,-0.8320214405655861,0.002235172243672423,0.0339599609375,0.861064250767231,36.585577607154846,1.2728323936462402,5.636575222015381,0.10760048776865005,0.28117862343788147,0.0,0.13902537524700165,0.15197770297527313,0.1711379885673523,-1.7237268686294556,-1.6984163522720337,-1.661026954650879,0.0,1.0
307200,300,7,124.32162300467682,127.85714285714286,-0.006548810529056937,4.5461300909519196,-0.8422738492488862,0.007200220809318125,0.060791015625,0.8634828284382821,23.800694668292998,0.24051587283611298,4.855613708496094,0.08823144435882568,0.27463698387145996,0.0,0.13885584473609924,0.15092016756534576,0.17012836039066315,-1.7240594625473022,-1.7004812955856323,-1.6629884243011475,0.0,1.0
308224,301,9,120.65891685988706,127.33333333333333,-0.004896764253498986,3.563827835023403,-0.8426737383008003,0.005757628702849615,0.0558349609375,0.8703632488846779,23.9985475897789,0.8014044165611267,4.276706695556641,0.07763693481683731,0.2782718539237976,0.0,0.1407865434885025,0.15184643864631653,0.1697234809398651,-1.7202726602554321,-1.6986784934997559,-1.6637753248214722,0.0,1.0
