total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
931840,910,7,121.66752781904243,120.28571428571429,-0.006159608461894095,2.070671360939741,-2.373561072349548,0.006727538935956545,0.0685302734375,1.470792782306671,22.244846212863923,1.3926277160644531,3.3692710399627686,-0.05288790166378021,0.27330660820007324,0.0,-0.13629424571990967,-0.10665179044008255,-0.07377501577138901,-2.2709131240844727,-2.2123680114746094,-2.147282838821411,0.0,1.0
932864,911,8,124.98397179511363,128.25,-0.006474390788935125,1.6063373789191246,-2.3839483976364138,0.0050635544495889915,0.0650390625,1.5737758487462998,13.529200738668441,0.32445788383483887,3.043116569519043,-0.09164631366729736,0.2772679030895233,0.0,-0.13666406273841858,-0.1079132929444313,-0.07515671104192734,-2.271639108657837,-2.2148663997650146,-2.150031089782715,0.0,1.0
933888,912,9,128.1256782799369,124.77777777777777,-0.006113290507346392,1.636563978344202,-2.3926393926143645,0.007109685320756398,0.0536865234375,1.3952380642294884,19.539514446258544,1.0107464790344238,3.1609854698181152,-0.11975148320198059,0.2816829979419708,0.0,-0.14035947620868683,-0.10971596837043762,-0.0760495588183403,-2.2788898944854736,-2.218416929244995,-2.151806592941284,0.0,1.0
934912,913,8,122.13661995519375,123.5,-0.00834183685365133,2.5869181387126448,-2.4026506721973417,0.011571295603062026,0.0806884765625,1.5035728096961976,31.900394594669343,1.3754525184631348,4.152857303619385,-0.11488845944404602,0.26299920678138733,0.0,-0.14425981044769287,-0.11108378320932388,-0.076431043446064,-2.2865347862243652,-2.2210886478424072,-2.1525650024414062,0.0,1.0
935936,914,9,106.56064469191914,122.77777777777777,-0.007662496413104236,9.640659141540528,-2.4109274625778196,0.004524921215488575,0.0760986328125,1.3779626369476319,43.5927627325058,-0.8652687072753906,6.64408016204834,-0.10995372384786606,0.2733139395713806,0.0,-0.14565448462963104,-0.1126304343342781,-0.07771600782871246,-2.2892661094665527,-2.2241475582122803,-2.1551198959350586,0.0,1.0
936960,915,9,127.40551410262002,122.44444444444444,-0.006917176747811027,3.178993080556393,-2.4195383369922636,0.00634068320505321,0.0704833984375,1.3859799042344094,22.419252896308898,-0.3038979172706604,4.200608730316162,-0.11368578672409058,0.2753932774066925,0.0,-0.1474703848361969,-0.11390644311904907,-0.08014291524887085,-2.292821168899536,-2.226673126220703,-2.1599435806274414,0.0,1.0
937984,916,8,99.72898633076184,116.625,-0.00588717213831842,4.455036252737045,-2.4227452099323274,0.002948266756720841,0.0676025390625,1.4214740842580795,23.111215555667876,-0.3051779866218567,4.883368492126465,-0.09493430703878403,0.2664293348789215,0.0,-0.14720089733600616,-0.11353962868452072,-0.08002051711082458,-2.2922937870025635,-2.225947380065918,-2.159700393676758,0.0,1.0
939008,917,8,119.97759457907972,116.375,-0.0077830626280047,5.453845527768135,-2.422327291965485,0.009774393500993028,0.0868896484375,1.4073828250169753,39.627530217170715,1.5055854320526123,5.494236469268799,-0.08678891509771347,0.2695617377758026,0.0,-0.14873413741588593,-0.11413666605949402,-0.08056996762752533,-2.2952940464019775,-2.2271206378936768,-2.160792112350464,0.0,1.0
940032,918,9,117.52976148900984,119.66666666666667,-0.008805957878939808,6.596879070997238,-2.423841190338135,0.00812260776583571,0.0925048828125,1.3464187547564506,37.458466744422914,0.5321396589279175,5.830795764923096,-0.09124667197465897,0.27666181325912476,0.0,-0.15022750198841095,-0.11368908733129501,-0.07815609127283096,-2.298214912414551,-2.2262167930603027,-2.1559946537017822,0.0,1.0
941056,919,8,140.8940413673747,130.75,-0.0067185537074692546,7.006060606241226,-2.420445066690445,0.005524641618831083,0.0526611328125,1.4235785230994225,38.587900161743164,2.364163398742676,5.737372398376465,-0.08023328334093094,0.27134576439857483,0.0,-0.151290625333786,-0.11328499764204025,-0.07472831755876541,-2.3002936840057373,-2.225400924682617,-2.149178981781006,0.0,1.0
942080,920,8,116.71257605938442,125.25,-0.007712970272405073,6.640574888885022,-2.420210289955139,0.005312119747395627,0.0814697265625,1.4755208790302277,35.222721910476686,-0.05495832860469818,5.6192307472229,-0.08878985792398453,0.27440911531448364,0.0,-0.1502450406551361,-0.11349889636039734,-0.07595210522413254,-2.2982492446899414,-2.2258288860321045,-2.1516127586364746,0.0,1.0
943104,921,7,138.43839519437006,133.42857142857142,-0.007720498635899275,3.9623212471604345,-2.422234046459198,0.005667422249098308,0.07705078125,1.5959628462791442,33.39793130159378,1.9542136192321777,4.321402549743652,-0.07636760175228119,0.28992578387260437,0.0,-0.15067891776561737,-0.11417567729949951,-0.07624221593141556,-2.2990975379943848,-2.2271525859832764,-2.1521897315979004,0.0,1.0
944128,922,8,104.90460853983383,131.125,-0.007824564073234796,4.658667628467083,-2.4250553488731383,0.003152200431213714,0.0707275390625,1.5385248959064484,27.07913076877594,0.427564412355423,5.0835795402526855,-0.06192798539996147,0.2688803970813751,0.0,-0.1505548655986786,-0.11425872892141342,-0.07530175894498825,-2.2988550662994385,-2.227325439453125,-2.1503195762634277,0.0,1.0
