mode,representation,dimension,name,count,min,mean,median,p1,p5,p95,p99,max,std,outside_unit_ratio,clipping_ratio
nominal,raw,25,safe_dvz,40000,-3.647356462772036,-0.014608754673423931,-0.011525289093635488,-2.715739449330622,-1.6727741832717007,1.6638970541280163,2.6426992124156583,4.364760530629397,1.0640761142846067,0.3759765625,0.3759765625
random_stress,normalized,0,self_x,14644,0.12238907751555665,0.5048292251958247,0.5139447152949163,0.16555404825744888,0.31874103996213166,0.6930463968604212,0.7786308038087156,0.8235030676866897,0.12556170145622045,0.0,0.0
random_stress,normalized,1,self_y,14644,0.23587113405235233,0.48060202633758803,0.47084017167684455,0.25598736969106295,0.27335626861736084,0.685018016926418,0.7136272002153965,0.7331243957529435,0.1209188860942568,0.0,0.0
random_stress,normalized,2,self_z,14644,-0.9993709058843079,-0.010841156475031333,-0.03193478718090944,-0.8920692924632143,-0.6963235224918273,0.68033860655848,0.9096048551584005,0.9986785309282595,0.4013079751274933,0.0,0.0
random_stress,normalized,3,self_vx,14644,-0.39552070556053276,0.01395148177993882,0.005154196049231596,-0.2454833540044364,-0.1431785257767644,0.20770480056155788,0.3346530607079409,0.4948616616392368,0.10836264491839706,0.0,0.0
random_stress,normalized,4,self_vy,14644,-0.3192544721910675,0.007238162444150283,0.004830056373919852,-0.22663715507796994,-0.15787363494802534,0.16372465285172993,0.22445932277636227,0.30556513364545257,0.09424422367818922,0.0,0.0
random_stress,normalized,5,self_vz,14644,-0.8333333333333334,-0.004592419719750575,-0.011305493337910115,-0.7429225943427594,-0.5491280196120019,0.6397295982401124,0.866686765827846,1.0,0.3373019623926458,0.0,0.001953125
random_stress,normalized,6,up_dx,14644,-0.21607047451874462,0.0020063187179546666,0.003643978834323491,-0.18744514982567279,-0.1463323290830766,0.1397928848601357,0.16038048035584018,0.18966064375188102,0.09426443088320116,0.0,0.0
random_stress,normalized,7,up_dy,14644,-0.19070603417675933,-0.009229961463545868,-0.03793038049258683,-0.16585529957703227,-0.13927291175084813,0.1453930665702784,0.18552858644205208,0.20123192917955213,0.09506733050968652,0.0,0.0
random_stress,normalized,8,up_dz,14644,-0.843148280798463,0.013604292103454898,0.01944778603671409,-0.6959067074570142,-0.34721591502242943,0.3514451170435062,0.6622797817967523,0.8680423652887279,0.2153807736720721,0.0,0.0
random_stress,normalized,9,up_dvx,14644,-0.29854868949208535,-0.002993097476196053,0.001431806017481263,-0.23474632316528748,-0.17284816341895418,0.15762314607245503,0.2146744858204547,0.27581096417095036,0.09576005143380324,0.0,0.0
random_stress,normalized,10,up_dvy,14644,-0.3084312039766665,-0.01006873008493098,-0.00811714920368135,-0.2511778859599172,-0.1645511722076262,0.13986058733562962,0.26619398487562285,0.3148161148270917,0.09267052830414035,0.0,0.0
random_stress,normalized,11,up_dvz,14644,-0.7810742538428498,-0.01063576580935184,-0.006162607811406891,-0.5889754172350291,-0.4139270254059995,0.391590129942987,0.5374851836520761,0.7052261351804416,0.23660841892350942,0.0,0.0
random_stress,normalized,12,up_capacity,14644,0.32056543297396634,0.6185907987956508,0.6065728473705032,0.35046556559964653,0.4233370923240832,0.798167987430896,1.0,1.0,0.11846943370473385,0.0,0.015625
random_stress,normalized,13,down_dx,14644,-0.2480760780875416,-0.005323535419946428,-0.015714500273610838,-0.1800394283293332,-0.13709269292503767,0.15405055994765235,0.19672234320326584,0.22569130769610898,0.09763181485796286,0.0,0.0
random_stress,normalized,14,down_dy,14644,-0.2387346675589292,0.004918311657562325,0.03243327942401698,-0.17611746928077446,-0.14349326308815818,0.13644676202622047,0.19607155787058558,0.2219117465669607,0.09576251430876577,0.0,0.0
random_stress,normalized,15,down_dz,14644,-0.8680423652887279,-0.012897258095582056,-0.017222154542956503,-0.6115906668621228,-0.35553926148755777,0.34760073802119296,0.5577436113613787,0.843148280798463,0.21131906624413188,0.0,0.0
random_stress,normalized,16,down_dvx,14644,-0.34246068553818965,-0.0025440345378172817,-0.0018527250068468616,-0.24700403424820103,-0.18298388905908874,0.16666469492524533,0.19944157064248777,0.25730427123536537,0.09968112999888401,0.0,0.0
random_stress,normalized,17,down_dvy,14644,-0.2872632361691562,0.00034978192368743683,0.006725536684559094,-0.23834636509995763,-0.17157113839104232,0.15331634175735326,0.21037237462070535,0.2798178655498239,0.09079456570544897,0.0,0.0
random_stress,normalized,18,down_dvz,14644,-0.7052261351804416,0.009493159006786494,0.010615071279565439,-0.5729985107540053,-0.4104571423694215,0.39099355097870836,0.5625254668964538,0.7810742538428498,0.23800082420715216,0.0,0.0
random_stress,normalized,19,down_capacity,14644,0.2977987576081522,0.6085337349994652,0.6026508494665334,0.34923493547920187,0.41488646882513563,0.7756388435490843,0.8721404828826285,1.0,0.10965399107473855,0.0,0.0029296875
random_stress,normalized,20,safe_dx,14644,-0.319012701889777,-0.017623191012541853,-0.03191707496300205,-0.3002905863195032,-0.2513282524532752,0.2639046840151254,0.30380580052350287,0.38345871902667616,0.17283892333931125,0.0,0.0
random_stress,normalized,21,safe_dy,14644,-0.32413532952113083,0.004008270532594147,0.022509780767505105,-0.28887874173310496,-0.2722690773642006,0.2576904070539099,0.2796737346943352,0.2972174094403997,0.17168216265392874,0.0,0.0
random_stress,normalized,22,safe_dz,14644,-0.9035967433723354,-0.012333616058774468,-0.0109293134375595,-0.6789253916875299,-0.44877402487810314,0.39390950496615335,0.6893937410662846,0.9035967433723354,0.24043764955793637,0.0,0.0
random_stress,normalized,23,safe_dvx,14644,-0.2940511398032186,-0.003941221424142799,-0.002000666321672756,-0.24665509605540104,-0.2005057043563383,0.16032210784380427,0.22122231753777247,0.2940511398032186,0.09988319780938913,0.0,0.0
random_stress,normalized,24,safe_dvy,14644,-0.3223866797158972,-0.00613577270806449,-0.004062817970016714,-0.2682264633288952,-0.18838188891429639,0.1468872793487817,0.24494289652002088,0.27632582672681566,0.09710216533585059,0.0,0.0
random_stress,normalized,25,safe_dvz,14644,-0.8030458077499181,-0.013778985132583167,-0.015334856091165671,-0.5895150091979884,-0.4108786964137059,0.41859839903566104,0.6096111708628787,0.8030458077499181,0.24585976006858543,0.0,0.0
random_stress,raw,0,self_x,14644,244.7781550311133,1009.6584503916516,1027.8894305898325,331.10809651489774,637.4820799242633,1386.0927937208426,1557.2616076174313,1647.0061353733793,251.12340291243086,1.0,1.0
random_stress,raw,1,self_y,14644,471.74226810470464,961.20405267518,941.6803433536891,511.9747393821259,546.7125372347217,1370.036033852836,1427.2544004307929,1466.248791505887,241.83777218850005,1.0,1.0
