candidate,value_normalization,gamma,gae_lambda,run_seed,update,protocol_sha256,validation_seed_count,safety_priority_key,episodes,total_steps,normal_completion_count,collision_count,boundary_count,persistent_outage_count,speed_accel_violations,outage_step_ratio,rate_satisfaction_ratio,mean_e2e_rate_mbps,mean_return,mean_acceleration_mps2,action_saturation_ratio,movement_distance_m,min_link_margin_db,min_separation_m,max_xy_speed_mps,max_abs_z_speed_mps,max_xy_accel_mps2,max_abs_z_accel_mps2
V0H0,False,0.99,0.95,2028,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,17.0,3.0,0.02556171250124979,-0.9581016027895322,-7.231867665156453]",20,2969,0,0,17,3,0,0.02556171250124979,0.9581016027895322,7.231867665156453,168.18875947443433,0.37679085727198103,0.0,593.7411200431548,-1.7830412819407515,37.61172956205892,16.454238898788763,5.0,1.0696711398944256,0.43320226669311346
V0H0,False,0.99,0.95,2028,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,16.0,4.0,0.04560760284212127,-0.9479473644577853,-7.108387996622795]",20,3068,0,1,15,4,0,0.04560760284212127,0.9479473644577853,7.108387996622795,167.3132508589618,0.3816487402758239,0.0,642.8426543938986,-10.44924800645855,19.301436225228077,15.632301956230272,5.0,0.8623725534805727,0.4241485893726349
V0H1,False,0.995,0.97,2026,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,10.0,10.0,0.08283341989183735,-0.9092817286929804,-6.785869387511369]",20,3418,0,0,10,10,0,0.08283341989183735,0.9092817286929804,6.785869387511369,175.08605711615814,0.3191720074867403,0.0,697.314243672149,-1.404844113754419,48.66449116950173,18.170924176939145,5.0,0.8094606036177215,0.3044801354408264
V0H1,False,0.995,0.97,2026,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,11.0,9.0,0.09506383503525526,-0.8700367650621326,-6.569917362923671]",20,3384,0,0,11,9,0,0.09506383503525526,0.8700367650621326,6.569917362923671,164.24965528195497,0.3992859233267144,0.0,725.5809125489943,-2.0083394142326276,47.584332281298806,20.000000000000007,6.0,1.4272372262703106,0.43534597754478543
V0H1,False,0.995,0.97,2026,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,0.0,20.0,0.1402013465996918,-0.8019374643758788,-6.203456637958691]",20,3701,0,0,0,20,0,0.1402013465996918,0.8019374643758788,6.203456637958691,162.2667308083801,0.4142613788399121,0.0,1106.9702059007113,-2.0090836751933185,21.962851950920516,20.000000000000004,3.3227696240413946,1.1575458751648942,0.30547657608985895
V0H1,False,0.995,0.97,2026,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,12.0,8.0,0.06558821715064206,-0.9091956383136633,-6.894715890715082]",20,3463,0,0,12,8,0,0.06558821715064206,0.9091956383136633,6.894715890715082,183.0867216670053,0.5111211097563739,0.0,982.77521648978,-1.6835791455233444,55.35127644948622,20.000000000000007,5.0,1.2695431248198883,0.38626566529273987
V0H1,False,0.995,0.97,2027,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,20.0,0.0,0.01809961946805016,-0.9686668316009438,-7.294001696861822]",20,2563,0,0,20,0,0,0.01809961946805016,0.9686668316009438,7.294001696861822,147.8346208431511,0.4637358962350125,0.0,627.3823410494979,-8.013869334122292,74.87080545911195,15.165731713075727,6.0,0.6247472339122166,0.7384545803070067
V0H1,False,0.995,0.97,2027,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,15.0,5.0,0.052359802862942895,-0.913084711241965,-6.926807203978609]",20,3486,0,0,15,5,0,0.052359802862942895,0.913084711241965,6.926807203978609,187.34279715378185,0.36145518134618315,0.0,823.7199686731067,-11.026792561908302,85.8894046072828,20.000000000000004,5.400850442051887,0.904273943915852,0.7163082361221313
V0H1,False,0.995,0.97,2027,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,6.0,14.0,0.10786685194104254,-0.8447888470911293,-6.473577921191449]",20,3834,0,0,6,14,0,0.10786685194104254,0.8447888470911293,6.473577921191449,181.8806366227587,0.3182853611583364,0.0,824.5835168290874,-2.204565557091917,39.5612115443857,20.000000000000004,4.864719516038895,0.81435926882808,0.5353760719299316
V0H1,False,0.995,0.97,2027,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,9.0,11.0,0.09708869856419304,-0.8631681140035236,-6.562830364044724]",20,3557,0,0,9,11,0,0.09708869856419304,0.8631681140035236,6.562830364044724,172.12837553498565,0.3638754011969512,0.0,802.5645812977227,-2.2839158814593925,26.950247281295752,20.000000000000004,6.0,1.1708651747125687,0.6571412086486816
